batch_index,benchmark_seed_index,source_panel_row,query_position,target_index,target_hash,seed_canonical_smiles,seed_heavy_atoms,sampling_seed,raw_proposals,token_decodable_proposals,token_decodable_fraction,rdkit_valid_proposals,rdkit_valid_fraction,rdkit_unique_valid_molecules,rdkit_unique_fraction_of_raw,rdkit_unique_fraction_of_valid,release_policy_accepted_proposals,release_policy_accepted_fraction,release_policy_unique_molecules,release_policy_unique_fraction_of_raw
33,66,1495,1495,37645,eddd1d48b8ab490bb9c67849530dc2f920d0db072891b6e1f96839ccd016b335,C#Cc1cccc(N(C(C)C)S(=O)(=O)c2ccccc2Cn2ccnc2)c1,27,1340635885716370022,1000,1000,1.0,946,0.946,27,0.027,0.02854122621564482,946,0.946,27,0.027
33,67,6431,6431,21738,61c9f366083b5ebc76b3772bdf11e215ec4aa301151469f3a597590e8392d4a0,CC(=O)OCOC(=O)C1=C(COC(N)=O)SC2N1C(=O)C2(Br)C(C)O,25,9211199226961424047,1000,1000,1.0,931,0.931,856,0.856,0.9194414607948442,931,0.931,856,0.856
34,68,8900,8900,47270,566ff01044862392147ee4f452cd410c5c6d71549efdcd1f32524ffd64914cc8,COc1cc(Br)cc(-c2cc(C(=O)O)nn2C)c1OC1CN(C)C1,24,870955329378596358,1000,1000,1.0,945,0.945,43,0.043,0.0455026455026455,945,0.945,43,0.043
34,69,486,486,22752,3c8acc384ce95b3222b6fa8df36e75fe215376a7cb97f09d2e600268e5986c9d,COCc1cc(C(=O)NCC[NH+](C)C2CCCN(C)C2=O)no1,23,6734176600750608411,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
35,70,2002,2002,36540,9838214a798a069853d1c815bef12ba265689dc059cc78db1b74a84367c38ae7,CC1=C(C(=O)N2CCN(c3cccc(C)c3C)CC2)C2(CCC(C)CC2)OC1=O,29,8625797043221862005,1000,1000,1.0,989,0.989,68,0.068,0.06875631951466127,989,0.989,68,0.068
35,71,1852,1852,38360,e8b1737c0d75fac732777ad4bc750d84f598af5bb4a96f7fe3ab5b098a8e8e88,CC(Cc1cnn(C)c1)C(=O)NC1CCCC(C2CC2)C1,21,3816263678296051260,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
36,72,1367,1367,47752,22f050267296cff990d24863e7fd4ab1a68cf45c45b4591fd4184239ea1882f6,O=C(NCC1(O)CC[NH+](Cc2cc(F)cc(F)c2)C1)C1CCCC1,24,3731646037818299315,1000,1000,1.0,1000,1.0,1,0.001,0.001,1000,1.0,1,0.001
36,73,7250,7250,16018,5f142909a0346fab8b234f746a93372a34e55ade966f71db7d7d111406a0dfdb,CN1CCc2ccc(Nc3cccc(CC[NH+]4CCOCC4)c3)cc21,25,7997813429562781620,1000,1000,1.0,993,0.993,16,0.016,0.016112789526686808,993,0.993,16,0.016
37,74,602,602,24107,b2229116b3032b44aaa001fc275a65a2709231ae1c17a09a9cb92cf7da153c3c,CCN(C(=O)C1=CCCC1)C1CCN(C(=O)c2cnnn2C)C1,23,8132067340301417204,1000,1000,1.0,1000,1.0,5,0.005,0.005,1000,1.0,5,0.005
37,75,3220,3220,30124,5e1124bfd871329a8d97921e8be61aa4836303c7a3f8ebc32ab6fd24c3a08cc6,O=C(O)c1ccsc1NC(=O)C1COCCO1,17,1020065691672176236,1000,1000,1.0,1000,1.0,2,0.002,0.002,1000,1.0,2,0.002
