analysis,space,transform,train_cores,support_tier,alignment_mean,alignment_count,null_alignment_mean,null_alignment_count,alignment_gain_mean,alignment_gain_count
alignment_all,graph_256,Brc1ccccc1[*:1]>>O=[N+]([O-])c1ccccc1[*:1],2,2-4,0.8883386011972083,1,-0.4045091645263962,1,1.2928477657236046,1
alignment_all,graph_256,Brc1ccccc1[*:1]>>c1cncc(C[*:1])c1,5,5-9,0.8769817949855081,1,0.056307706226761386,1,0.8206740887587467,1
alignment_all,graph_256,C#CC(C)[*:1]>>CC(C)CC(C)[*:1],2,2-4,0.7421845536945968,1,-0.2044759449990351,1,0.9466604986936319,1
alignment_all,graph_256,C#CC(C)[*:1]>>COCC(C[*:1])OC,2,2-4,0.7611093715381275,1,0.23491861425836663,1,0.5261907572797608,1
alignment_all,graph_256,C#CC(C)[*:1]>>FC(F)(F)CCC[*:1],2,2-4,0.5522586680250497,2,0.21256672398932808,2,0.33969194403572167,2
alignment_all,graph_256,C#CC(CC)[*:1]>>CC(C)=CC[*:1],2,2-4,0.761506582254377,1,-0.16743175994910725,1,0.9289383422034843,1
alignment_all,graph_256,C#CCCCC[*:1]>>C#CCOCC[*:1],3,2-4,0.8167852790425884,1,0.19860697350166262,1,0.6181783055409258,1
alignment_all,graph_256,C#CCCCC[*:1]>>CC(C)C[*:1],3,2-4,0.917186895218879,1,-0.058772349928079934,1,0.9759592451469589,1
alignment_all,graph_256,C#CCCC[*:1]>>C#CCOC[*:1],3,2-4,0.8167852790425884,1,0.1512013726865803,1,0.6655839063560081,1
alignment_all,graph_256,C#CCCC[*:1]>>C=CC(C)(C)C[*:1],2,2-4,0.6520892242804179,1,-0.23902893128299366,1,0.8911181555634116,1
alignment_all,graph_256,C#CCCC[*:1]>>C=CC(C)[*:1],2,2-4,0.8110614320598912,1,0.017097098161437976,1,0.7939643338984532,1
alignment_all,graph_256,C#CCCC[*:1]>>C=CCC[*:1],2,2-4,0.8643391934968341,2,-0.12381649426556054,2,0.9881556877623945,2
alignment_all,graph_256,C#CCCC[*:1]>>CC(C)(C)CC[*:1],2,2-4,0.9211883826650848,1,-0.29486556358903454,1,1.2160539462541193,1
alignment_all,graph_256,C#CCCC[*:1]>>CC(C)(C)[*:1],5,5-9,0.9003093123656846,1,0.21306296244409723,1,0.6872463499215873,1
alignment_all,graph_256,C#CCCC[*:1]>>CC(C)CC(C)[*:1],2,2-4,0.8379503556879522,3,-0.2512047165532973,3,1.0891550722412495,3
alignment_all,graph_256,C#CCCC[*:1]>>CC(C)[*:1],4,2-4,0.8919183882425316,3,0.0445620780986698,3,0.8473563101438618,3
