analysis,minimum_train_cores,transformations,observations,metric,space,macro_estimate,ci_low,ci_high,positive_transformation_fraction
retrieval_mmp_direction,2,1141,2048,seed_retrieved_tanimoto,released_hybrid_w3,0.6898869848096454,0.684452955784699,0.695255816751528,
retrieval_mmp_direction,2,1141,2048,seed_retrieved_tanimoto,hybrid_w6,0.6892922627077297,0.6839061823702945,0.6946946350503745,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_1,graph_256,0.9428863569967858,0.9304666958808062,0.9550102249488753,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_1,mean_node_128,0.9601226993865029,0.9496019573473562,0.9703476482617588,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_1,hybrid_w1,0.9677183756938357,0.9580740578439964,0.9766286882851299,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_1,released_hybrid_w3,0.9693251533742328,0.9598305579900671,0.9780893952673094,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_1,hybrid_w6,0.9637744668419513,0.9538416593631319,0.9734151329243352,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_10,graph_256,0.992696465089103,0.9880185509786736,0.9969325153374233,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_10,mean_node_128,0.9983932223196026,0.9957639497516797,1.0,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_10,hybrid_w1,0.9962021618463335,0.9925503943908852,0.9991235758106923,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_10,released_hybrid_w3,0.9988314344142564,0.9964943032427696,1.0,
retrieval_mmp_direction,5,1141,2048,exact_derivative_recall_at_10,hybrid_w6,0.9988314344142564,0.9964943032427696,1.0,
retrieval_mmp_direction,5,1141,2048,reciprocal_rank_within_50,graph_256,0.9618769468188841,0.9530917031132033,0.9705344221370457,
retrieval_mmp_direction,5,1141,2048,reciprocal_rank_within_50,mean_node_128,0.9770999559890885,0.9708218377748947,0.9830710451358456,
retrieval_mmp_direction,5,1141,2048,reciprocal_rank_within_50,hybrid_w1,0.979222274949707,0.9727520024770245,0.9849981372094652,
retrieval_mmp_direction,5,1141,2048,reciprocal_rank_within_50,released_hybrid_w3,0.9829841791279129,0.9776258945310216,0.9879272947327286,
retrieval_mmp_direction,5,1141,2048,reciprocal_rank_within_50,hybrid_w6,0.9791635487123941,0.9731380668974678,0.9846422618602778,
retrieval_mmp_direction,5,1141,2048,scaffold_retention,graph_256,0.9770669003797837,0.9681565877884895,0.9852505112474438,
retrieval_mmp_direction,5,1141,2048,scaffold_retention,mean_node_128,0.9782354659655271,0.969763365468887,0.9861232836692958,
retrieval_mmp_direction,5,1141,2048,scaffold_retention,hybrid_w1,0.9782354659655271,0.969763365468887,0.9861232836692958,
retrieval_mmp_direction,5,1141,2048,scaffold_retention,released_hybrid_w3,0.9782354659655271,0.969763365468887,0.9861232836692958,
retrieval_mmp_direction,5,1141,2048,scaffold_retention,hybrid_w6,0.9782354659655271,0.969763365468887,0.9861232836692958,
retrieval_mmp_direction,5,1141,2048,mmp_consistency,graph_256,0.95252702307917,0.9409874379199531,0.9633362547472978,
retrieval_mmp_direction,5,1141,2048,mmp_consistency,mean_node_128,0.9687408705813613,0.9593886941279576,0.9773590417762196,
retrieval_mmp_direction,5,1141,2048,mmp_consistency,hybrid_w1,0.97166228454572,0.9624598305579901,0.9799883143441427,
retrieval_mmp_direction,5,1141,2048,mmp_consistency,released_hybrid_w3,0.9753140520011685,0.966254016944201,0.9830594507741748,
retrieval_mmp_direction,5,1141,2048,mmp_consistency,hybrid_w6,0.971954425942156,0.962751971954426,0.9802804557405784,
retrieval_mmp_direction,5,1141,2048,exact_requested_transform,graph_256,0.9428863569967858,0.9304666958808062,0.9550102249488753,
retrieval_mmp_direction,5,1141,2048,exact_requested_transform,mean_node_128,0.9601226993865029,0.9496019573473562,0.9703476482617588,
retrieval_mmp_direction,5,1141,2048,exact_requested_transform,hybrid_w1,0.9677183756938357,0.9580740578439964,0.9766286882851299,
retrieval_mmp_direction,5,1141,2048,exact_requested_transform,released_hybrid_w3,0.9693251533742328,0.9598305579900671,0.9780893952673094,
retrieval_mmp_direction,5,1141,2048,exact_requested_transform,hybrid_w6,0.9637744668419513,0.9538416593631319,0.9734151329243352,
retrieval_mmp_direction,5,1141,2048,seed_retrieved_tanimoto,graph_256,0.6840158632319803,0.6776363895721051,0.6896346541085195,
