strategy,budget,population,count,mean,standard_deviation,minimum,q10,q25,median,q75,q90,maximum
hybrid_b500_s500_t100,100,scaffold_changing,10544,0.5108594637265575,0.13659548092412616,0.021276595070958138,0.3415560334920883,0.4166666567325592,0.5,0.5968343913555145,0.6909090876579285,0.9743589758872986
hybrid_b500_s500_t100,100,acyclic_non_mmp,122,0.3885612915285298,0.14062172162038794,0.13793103396892548,0.2222222238779068,0.26923078298568726,0.375,0.461850643157959,0.5512687027454376,0.8837209343910217
hybrid_b500_s500_t100,250,all_genuine_nonseed,30652,0.5270643597567177,0.1467313883868133,0.0,0.34210526943206787,0.4202898442745209,0.5185185074806213,0.6307692527770996,0.7213114500045776,1.0
hybrid_b500_s500_t100,250,one_cut_mmp_derivative,3956,0.6980936995456023,0.09504175535336493,0.4038461446762085,0.5757575631141663,0.6404687464237213,0.6964285969734192,0.7592592835426331,0.8166666626930237,1.0
hybrid_b500_s500_t100,250,same_scaffold_non_mmp,3075,0.5953461876341967,0.11404549882959353,0.2647058963775635,0.4482758641242981,0.5199999809265137,0.5970149040222168,0.6666666865348816,0.7358490824699402,1.0
hybrid_b500_s500_t100,250,scaffold_changing,23330,0.4908263561136596,0.13281409581532652,0.0,0.328125,0.39726027846336365,0.4833333194255829,0.5744680762290955,0.6666666865348816,1.0
hybrid_b500_s500_t100,250,acyclic_non_mmp,291,0.38573767956589505,0.14616229792257318,0.09375,0.2222222238779068,0.26923078298568726,0.37288135290145874,0.4642857015132904,0.557692289352417,0.8837209343910217
hybrid_b500_s500_t100,500,all_genuine_nonseed,53818,0.5128882908493128,0.14589914482445943,0.0,0.3333333432674408,0.4067796468734741,0.5,0.6140350699424744,0.7096773982048035,1.0
hybrid_b500_s500_t100,500,one_cut_mmp_derivative,6443,0.6954329585216809,0.09471975765415985,0.38181817531585693,0.5714285969734192,0.634768009185791,0.6964285969734192,0.7592592835426331,0.8148148059844971,1.0
hybrid_b500_s500_t100,500,same_scaffold_non_mmp,4850,0.5844413506554574,0.11326415766431634,0.22448979318141937,0.43659411966800693,0.5087719559669495,0.5869565010070801,0.6600000262260437,0.725806474685669,1.0
hybrid_b500_s500_t100,500,scaffold_changing,41973,0.4783142111201708,0.13048608519104293,0.0,0.3188405930995941,0.3866666555404663,0.47058823704719543,0.5600000023841858,0.6507936716079712,1.0
hybrid_b500_s500_t100,500,acyclic_non_mmp,552,0.38247201294786687,0.1466140359607921,0.09375,0.20000000298023224,0.2680995613336563,0.38235294818878174,0.4642857015132904,0.5570954740047457,0.8837209343910217
hybrid_b500_s500_t100,1000,all_genuine_nonseed,94768,0.49981526658147296,0.14559338964208526,0.0,0.3199999928474426,0.39344263076782227,0.488095223903656,0.6000000238418579,0.6984127163887024,1.0
hybrid_b500_s500_t100,1000,one_cut_mmp_derivative,10757,0.6924206550080082,0.09496036392412789,0.3636363744735718,0.5660377144813538,0.6290322542190552,0.6938775777816772,0.7586206793785095,0.8139534592628479,1.0
hybrid_b500_s500_t100,1000,same_scaffold_non_mmp,7687,0.5752717957445311,0.1117791415833853,0.22448979318141937,0.4285714328289032,0.5,0.5789473652839661,0.6503968238830566,0.7142857313156128,1.0
hybrid_b500_s500_t100,1000,scaffold_changing,75292,0.46620023967222735,0.1288836853732138,0.0,0.30927833914756775,0.375,0.4576271176338196,0.5471698045730591,0.6376811861991882,1.0
hybrid_b500_s500_t100,1000,acyclic_non_mmp,1032,0.38261769203714624,0.14956266934602577,0.09090909361839294,0.18766891956329348,0.2631579041481018,0.38235294818878174,0.4642857015132904,0.5686274766921997,0.8837209343910217
hybrid_b500_s500_t120,50,all_genuine_nonseed,8161,0.5671823468114535,0.15007839988764643,0.03030303120613098,0.36986300349235535,0.45783132314682007,0.5645161271095276,0.6744186282157898,0.7592592835426331,1.0
hybrid_b500_s500_t120,50,one_cut_mmp_derivative,1239,0.7098460276825376,0.09422501138875482,0.4166666567325592,0.595239806175232,0.6551724076271057,0.7049180269241333,0.7666666507720947,0.8333333134651184,1.0
hybrid_b500_s500_t120,50,same_scaffold_non_mmp,1086,0.6263909931286045,0.12129503193138656,0.29411765933036804,0.4721362292766571,0.548545241355896,0.6274510025978088,0.6976920515298843,0.7843137383460999,1.0
hybrid_b500_s500_t120,50,scaffold_changing,5756,0.5275220861056557,0.14145522615429643,0.03030303120613098,0.3513513505458832,0.43020129948854446,0.5211267471313477,0.6192153096199036,0.7115384340286255,0.9607843160629272
hybrid_b500_s500_t120,50,acyclic_non_mmp,80,0.4074769733473659,0.14068889965325812,0.1785714328289032,0.2222222238779068,0.3442029058933258,0.39393940567970276,0.4747413173317909,0.5482220530509949,0.8837209343910217
hybrid_b500_s500_t120,100,all_genuine_nonseed,14697,0.5482016171270995,0.1486119884228123,0.021276595070958138,0.3589743673801422,0.44117647409439087,0.5416666865348816,0.6557376980781555,0.7419354915618896,1.0
hybrid_b500_s500_t120,100,one_cut_mmp_derivative,2109,0.7058924453809059,0.0943477314069794,0.4166666567325592,0.5869565010070801,0.6499999761581421,0.7017543911933899,0.7647058963775635,0.8269230723381042,1.0
hybrid_b500_s500_t120,100,same_scaffold_non_mmp,1724,0.6113366047806363,0.11714724147046392,0.2857142984867096,0.464436611533165,0.5355885177850723,0.6111111044883728,0.682636484503746,0.7586206793785095,1.0
hybrid_b500_s500_t120,100,scaffold_changing,10729,0.508915494642551,0.13674807265945435,0.021276595070958138,0.3392857015132904,0.4146341383457184,0.5,0.594936728477478,0.6896551847457886,0.9743589758872986
hybrid_b500_s500_t120,100,acyclic_non_mmp,135,0.40069148849557945,0.1428180367720082,0.13793103396892548,0.2222222238779068,0.30297619104385376,0.39393940567970276,0.4838709533214569,0.557692289352417,0.8837209343910217
hybrid_b500_s500_t120,250,all_genuine_nonseed,31113,0.5252005034452467,0.14691478634598956,0.0,0.3404255211353302,0.41860464215278625,0.5161290168762207,0.6296296119689941,0.7198596715927119,1.0
hybrid_b500_s500_t120,250,one_cut_mmp_derivative,3955,0.6980072114395282,0.09503455355102376,0.4038461446762085,0.5757575631141663,0.6399999856948853,0.6964285969734192,0.7592592835426331,0.8165306210517883,1.0
hybrid_b500_s500_t120,250,same_scaffold_non_mmp,3090,0.5948963894523849,0.11438411493348237,0.2647058963775635,0.447721928358078,0.5199999809265137,0.5967742204666138,0.6666666865348816,0.7358490824699402,1.0
hybrid_b500_s500_t120,250,scaffold_changing,23769,0.4891038397376827,0.13285582118160577,0.0,0.32608696818351746,0.3958333432674408,0.4810126721858978,0.5735294222831726,0.6666666865348816,1.0
hybrid_b500_s500_t120,250,acyclic_non_mmp,299,0.3886479341664841,0.14438334810329692,0.09375,0.2222222238779068,0.26923078298568726,0.37931033968925476,0.4716981053352356,0.557692289352417,0.8837209343910217
hybrid_b500_s500_t120,500,all_genuine_nonseed,54648,0.511161627689016,0.1460421321275762,0.0,0.32894736528396606,0.40506330132484436,0.5,0.6129032373428345,0.7090908885002136,1.0
hybrid_b500_s500_t120,500,one_cut_mmp_derivative,6445,0.6953752631036878,0.09474243706090453,0.38181817531585693,0.5714285969734192,0.6346153616905212,0.6964285969734192,0.7592592835426331,0.8148148059844971,1.0
hybrid_b500_s500_t120,500,same_scaffold_non_mmp,4870,0.5838139654796961,0.11369665068765784,0.22448979318141937,0.4358560830354691,0.5087719559669495,0.5869565010070801,0.6594535708427429,0.7254902124404907,1.0
hybrid_b500_s500_t120,500,scaffold_changing,42773,0.47679888775864687,0.13053197788541834,0.0,0.3174603283405304,0.38461539149284363,0.46875,0.5588235259056091,0.6491228342056274,1.0
hybrid_b500_s500_t120,500,acyclic_non_mmp,560,0.38388253796313493,0.14637415546149596,0.09375,0.20000000298023224,0.26923078298568726,0.38235294818878174,0.4642857015132904,0.557692289352417,0.8837209343910217
hybrid_b500_s500_t120,1000,all_genuine_nonseed,96299,0.4980924425313182,0.14565331105430035,0.0,0.3186813294887543,0.3913043439388275,0.48571428656578064,0.5970149040222168,0.698113203048706,1.0
hybrid_b500_s500_t120,1000,one_cut_mmp_derivative,10758,0.6924118477824143,0.09497204769634955,0.3636363744735718,0.5660377144813538,0.6290322542190552,0.6938775777816772,0.7586206793785095,0.8139534592628479,1.0
